,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24,Cell_25,Cell_26,Cell_27,Cell_28,Cell_29,Cell_30
DHX38,0.0,0.0,636.0,1181.0,297.0,36.0,315.0,0.0,0.0,438.0,480.0,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,272.0,0.0,44.0,63.0,333.0,541.0,482.0,427.0,0.0,350.0,735.0
DHX40,0.0,122.0,0.0,828.0,0.0,188.0,5.0,115.0,0.0,0.0,394.0,116.0,666.0,0.0,0.0,0.0,953.0,338.0,0.0,1.0,460.0,1.0,0.0,0.0,114.0,510.0,0.0,0.0,1613.0,331.0
DHX57,0.0,0.0,286.0,0.0,1.0,0.0,130.0,3.0,1.0,1044.0,1098.0,167.0,12.0,0.0,0.0,2.0,9785.0,0.0,26.0,54.0,9.0,1.0,0.0,1203.0,0.0,339.0,0.0,6.0,2422.0,322.0
DHX58,0.0,1.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHX8,0.0,184.0,303.0,1497.0,690.0,3.0,205.0,0.0,5.0,1092.0,327.0,0.0,1263.0,0.0,0.0,0.0,3858.0,1079.0,0.0,130.0,1.0,1.0,276.0,5.0,1438.0,111.0,14.0,20.0,3444.0,2816.0
DHX9,0.0,2105.0,1955.0,6132.0,1892.0,503.0,1464.0,591.0,161.0,5703.0,5115.0,769.0,7293.0,11.0,1004.0,263.0,12904.0,1275.0,513.0,108.0,3456.0,1754.0,1708.0,17479.0,1257.0,6047.0,1836.0,2.0,8576.0,5135.0
DIABLO,0.0,161.0,3544.0,5203.0,444.0,0.0,236.0,0.0,1774.0,1798.0,2332.0,1.0,7863.0,342.0,459.0,876.0,11795.0,1641.0,302.0,48.0,11269.0,272.0,3076.0,40.0,1792.0,1243.0,1732.0,193.0,3828.0,2035.0
DIAPH1,0.0,438.0,1401.0,1532.0,160.0,2.0,63.0,349.0,81.0,3709.0,1581.0,272.0,15.0,100.0,1.0,269.0,6789.0,65.0,162.0,1466.0,48.0,0.0,2433.0,3722.0,1660.0,170.0,2595.0,0.0,952.0,662.0
DIAPH2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1105.0,6.0,0.0,61.0,0.0,0.0,703.0,800.0,0.0,0.0,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0
DIAPH3,0.0,545.0,0.0,1330.0,229.0,70.0,504.0,0.0,477.0,4951.0,1506.0,0.0,3829.0,0.0,79.0,381.0,7181.0,644.0,464.0,1850.0,2842.0,652.0,0.0,661.0,295.0,2060.0,992.0,198.0,1963.0,166.0
DIAPH3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAPH3-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DICER1,0.0,719.0,1255.0,32.0,208.0,0.0,66.0,0.0,40.0,388.0,590.0,0.0,1023.0,0.0,34.0,181.0,0.0,81.0,0.0,355.0,850.0,591.0,28.0,0.0,0.0,88.0,530.0,2137.0,412.0,0.0
DIDO1,0.0,71.0,1036.0,0.0,195.0,611.0,1.0,0.0,0.0,464.0,291.0,0.0,1733.0,44.0,85.0,0.0,67.0,1.0,4.0,112.0,311.0,0.0,188.0,510.0,0.0,68.0,0.0,0.0,1152.0,0.0
DIEXF,0.0,412.0,1452.0,699.0,207.0,0.0,218.0,0.0,44.0,5542.0,675.0,806.0,4.0,825.0,0.0,0.0,627.0,642.0,0.0,34.0,7825.0,819.0,1358.0,6253.0,0.0,928.0,0.0,0.0,1530.0,1527.0
DIMT1,1176.0,854.0,3027.0,927.0,307.0,3.0,916.0,601.0,0.0,5811.0,5071.0,430.0,4698.0,711.0,17.0,30.0,12523.0,558.0,0.0,0.0,6678.0,592.0,1704.0,8516.0,870.0,746.0,10682.0,0.0,4656.0,3398.0
DIO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
DIO2,0.0,0.0,0.0,1375.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIO3OS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIP2A,0.0,0.0,27.0,598.0,0.0,0.0,0.0,0.0,0.0,1284.0,42.0,0.0,260.0,433.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,252.0,167.0,0.0,0.0,7.0,0.0,0.0,0.0,258.0
DIP2A-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,119.0
DIP2B,0.0,0.0,2574.0,0.0,0.0,0.0,524.0,496.0,1.0,142.0,1932.0,0.0,2319.0,0.0,1.0,0.0,1563.0,47.0,0.0,5.0,155.0,271.0,1442.0,5660.0,0.0,1398.0,0.0,0.0,424.0,659.0
DIP2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIRAS1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIRAS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIRC2,0.0,0.0,1091.0,2814.0,0.0,0.0,49.0,823.0,0.0,0.0,560.0,200.0,2866.0,4.0,22.0,0.0,7830.0,135.0,0.0,8.0,0.0,1.0,1655.0,0.0,1.0,59.0,0.0,0.0,725.0,469.0
DIRC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS3,0.0,1117.0,3844.0,0.0,376.0,0.0,435.0,536.0,1.0,2391.0,1008.0,70.0,33.0,34.0,19.0,119.0,5406.0,0.0,0.0,177.0,1835.0,877.0,0.0,4302.0,0.0,1651.0,1976.0,578.0,296.0,1753.0
DIS3L,0.0,58.0,453.0,2266.0,4.0,0.0,86.0,733.0,0.0,686.0,1281.0,0.0,0.0,58.0,0.0,275.0,2493.0,0.0,0.0,336.0,3531.0,4.0,1100.0,3268.0,454.0,611.0,0.0,83.0,2293.0,818.0
DIS3L2,0.0,0.0,1553.0,3.0,0.0,253.0,230.0,214.0,0.0,416.0,190.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,1673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,1.0,1761.0,0.0,0.0,0.0
DISP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKC1,5144.0,1494.0,12816.0,15528.0,966.0,1596.0,1021.0,1161.0,299.0,5835.0,3409.0,1169.0,2533.0,853.0,155.0,894.0,36659.0,3270.0,1.0,75.0,33948.0,2409.0,1332.0,25125.0,1025.0,3277.0,8325.0,595.0,26370.0,8189.0
DKFZP434A062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKFZP434I0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
DKFZP586I1420,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,41.0,17.0,125.0,0.0,6605.0,0.0,0.0,92.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,18.0
DKFZP686I15217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKFZp434J0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKFZp686O1327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DLAT,0.0,1961.0,7015.0,4048.0,495.0,10.0,897.0,513.0,5.0,12437.0,2158.0,525.0,9242.0,2079.0,25.0,2638.0,8814.0,1304.0,3.0,240.0,20238.0,374.0,136.0,3213.0,24.0,1263.0,10435.0,520.0,5469.0,3464.0
DLC1,0.0,48.0,0.0,0.0,587.0,293.0,937.0,0.0,405.0,798.0,256.0,0.0,1097.0,0.0,0.0,0.0,106.0,2044.0,0.0,245.0,98.0,550.0,0.0,989.0,0.0,1156.0,2561.0,0.0,183.0,2390.0
DLD,13030.0,137.0,12482.0,1607.0,758.0,1.0,482.0,2904.0,0.0,6735.0,1899.0,1064.0,2703.0,1.0,697.0,1245.0,13660.0,5404.0,809.0,566.0,10934.0,1842.0,7942.0,2200.0,1723.0,860.0,8499.0,237.0,4758.0,5843.0
DLEU1,0.0,1.0,2313.0,6023.0,110.0,0.0,509.0,0.0,358.0,1.0,1197.0,423.0,1748.0,279.0,0.0,35.0,2786.0,161.0,0.0,239.0,3830.0,0.0,1368.0,0.0,1056.0,77.0,882.0,0.0,2234.0,341.0
DLEU2,0.0,0.0,320.0,0.0,13.0,0.0,2.0,0.0,9.0,181.0,192.0,0.0,2.0,0.0,0.0,0.0,1239.0,61.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,598.0,0.0,0.0,224.0
DLEU2L,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,91.0,0.0,2.0,0.0,0.0,0.0,286.0,59.0,0.0,136.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,66.0
DLG1,0.0,143.0,29.0,1250.0,163.0,0.0,44.0,0.0,0.0,1299.0,446.0,421.0,482.0,112.0,0.0,673.0,194.0,355.0,0.0,139.0,1970.0,45.0,5.0,4036.0,0.0,615.0,755.0,114.0,943.0,1197.0
DLG2,0.0,0.0,1488.0,0.0,0.0,0.0,155.0,0.0,0.0,1795.0,443.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,3086.0,57.0,0.0,954.0,0.0,438.0,0.0,0.0,154.0,27.0
DLG3,0.0,32.0,0.0,535.0,0.0,533.0,24.0,0.0,97.0,0.0,411.0,143.0,0.0,0.0,0.0,610.0,0.0,0.0,481.0,21.0,3550.0,291.0,0.0,3394.0,0.0,142.0,0.0,0.0,1.0,10.0
DLG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,16.0,1.0,0.0,0.0,4.0,0.0
DLG5,0.0,0.0,14155.0,958.0,269.0,0.0,404.0,65.0,0.0,6277.0,3210.0,0.0,699.0,34.0,0.0,85.0,22015.0,436.0,738.0,132.0,1718.0,2517.0,5008.0,14249.0,554.0,955.0,311.0,0.0,6555.0,829.0
DLG5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
DLGAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLGAP1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,26.0,435.0,0.0,1024.0,0.0,0.0,14.0,131.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DLGAP1-AS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLGAP1-AS5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLGAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLGAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLGAP4,0.0,0.0,389.0,607.0,2.0,0.0,684.0,0.0,0.0,0.0,604.0,0.0,0.0,96.0,0.0,280.0,773.0,44.0,0.0,243.0,2762.0,1.0,97.0,119.0,1624.0,132.0,0.0,4.0,1493.0,767.0
DLGAP5,1.0,147.0,0.0,2497.0,114.0,209.0,35.0,999.0,103.0,6093.0,2384.0,639.0,1339.0,893.0,178.0,1303.0,2992.0,3488.0,0.0,1221.0,15467.0,3689.0,589.0,10077.0,2775.0,2650.0,5338.0,5399.0,8773.0,1885.0
DLL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,0.0,0.0
DLL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLST,0.0,0.0,0.0,23.0,3.0,0.0,3.0,0.0,127.0,331.0,194.0,0.0,193.0,0.0,0.0,136.0,0.0,0.0,0.0,1.0,2.0,16.0,26.0,4.0,0.0,288.0,0.0,0.0,969.0,6.0
DLX1,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLX2,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLX3,0.0,0.0,4089.0,1546.0,0.0,0.0,16.0,9.0,0.0,2409.0,452.0,7.0,0.0,21.0,0.0,0.0,5397.0,0.0,0.0,81.0,4774.0,136.0,3306.0,0.0,0.0,22.0,992.0,1498.0,179.0,3.0
DLX4,0.0,0.0,262.0,1510.0,0.0,0.0,181.0,0.0,0.0,343.0,81.0,0.0,0.0,0.0,0.0,123.0,3144.0,0.0,0.0,21.0,47.0,234.0,0.0,2920.0,0.0,102.0,501.0,0.0,0.0,1.0
DLX5,0.0,0.0,2416.0,1692.0,0.0,0.0,2.0,0.0,0.0,1469.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,204.0,0.0
DLX6,0.0,0.0,466.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLX6-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMAP1,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,81.0,167.0,3382.0,41.0,0.0,688.0,1.0,0.0,1035.0,10.0,3494.0,127.0,0.0,5432.0,0.0,0.0,0.0,0.0,1.0,284.0
DMBX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMD,0.0,676.0,729.0,15.0,129.0,0.0,78.0,0.0,0.0,30.0,51.0,2015.0,0.0,23.0,1.0,141.0,6.0,0.0,0.0,10.0,1.0,0.0,56.0,0.0,7.0,333.0,446.0,0.0,0.0,2873.0
DMKN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMP1,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMPK,0.0,1.0,1.0,0.0,3.0,14.0,18.0,1.0,0.0,620.0,4.0,0.0,0.0,0.0,0.0,23.0,999.0,0.0,0.0,2.0,4.0,73.0,28.0,0.0,174.0,168.0,257.0,0.0,0.0,18.0
DMRT2,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMRTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DMRTB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMTF1,0.0,1.0,0.0,7.0,115.0,218.0,20.0,0.0,0.0,274.0,813.0,0.0,0.0,0.0,38.0,0.0,5.0,34.0,0.0,93.0,156.0,508.0,0.0,0.0,2114.0,0.0,6.0,0.0,0.0,413.0
DMWD,0.0,0.0,514.0,0.0,0.0,0.0,24.0,0.0,14.0,11.0,301.0,1.0,65.0,107.0,1.0,0.0,1021.0,4.0,0.0,29.0,5.0,167.0,1928.0,0.0,0.0,62.0,0.0,0.0,601.0,0.0
DMXL1,0.0,6.0,1483.0,0.0,599.0,0.0,8.0,744.0,11.0,0.0,3127.0,0.0,726.0,0.0,506.0,5.0,1261.0,17.0,0.0,17.0,16.0,21.0,149.0,7553.0,49.0,348.0,1112.0,0.0,1.0,1868.0
DMXL2,0.0,0.0,0.0,0.0,417.0,1589.0,12.0,0.0,333.0,0.0,608.0,502.0,0.0,0.0,386.0,867.0,22.0,0.0,0.0,28.0,0.0,101.0,0.0,0.0,0.0,0.0,1.0,1.0,142.0,43.0
DNA2,0.0,48.0,0.0,1114.0,21.0,0.0,95.0,0.0,16.0,3276.0,413.0,47.0,0.0,0.0,0.0,2.0,3281.0,662.0,0.0,23.0,1090.0,125.0,123.0,2133.0,1468.0,14.0,366.0,0.0,1251.0,2152.0
DNAAF2,0.0,0.0,0.0,16.0,23.0,15.0,109.0,0.0,6.0,1090.0,2815.0,709.0,3431.0,26.0,444.0,0.0,2863.0,0.0,0.0,21.0,78.0,7.0,0.0,19.0,90.0,850.0,8.0,65.0,925.0,805.0
DNAH1,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,628.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
DNAH10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0,0.0,0.0,391.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH14,0.0,0.0,1263.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,24.0,4.0,53.0,3.0,0.0,0.0,0.0,10.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,104.0
DNAH17,0.0,278.0,0.0,0.0,0.0,0.0,71.0,0.0,452.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,139.0,0.0
DNAH2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DNAH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0
DNAH6,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH7,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH8,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
DNAH9,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAI1,0.0,0.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
DNAJA1,463.0,457.0,22607.0,46722.0,2359.0,2873.0,1817.0,3580.0,88.0,27829.0,19440.0,1495.0,23976.0,3759.0,2721.0,6210.0,61994.0,6269.0,711.0,320.0,55420.0,1844.0,16481.0,38065.0,5201.0,11495.0,6311.0,3891.0,32516.0,8247.0
DNAJA1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJA2,15971.0,2385.0,11756.0,9066.0,1674.0,18.0,2567.0,4481.0,227.0,27409.0,15851.0,4143.0,3466.0,1337.0,988.0,1653.0,52289.0,838.0,2877.0,616.0,37099.0,1712.0,5641.0,16924.0,3436.0,4052.0,22846.0,93.0,11685.0,5809.0
DNAJA3,2962.0,0.0,25.0,1816.0,380.0,0.0,491.0,0.0,507.0,314.0,1269.0,27.0,5413.0,31.0,0.0,2220.0,5086.0,151.0,0.0,92.0,4577.0,253.0,0.0,0.0,3.0,685.0,468.0,0.0,370.0,470.0
DNAJA4,0.0,0.0,0.0,220.0,0.0,0.0,70.0,0.0,0.0,12.0,0.0,0.0,0.0,646.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,0.0,0.0,1763.0,0.0,0.0,0.0,12.0,0.0
